Cabin (group),Cabin,Channel Type,Sub Channel Type,Ticket Type,Point of Sale,Rev (GBP) CY,Rev (GBP) PY,Passengers CY,Passengers PY,Average Fare (GBP) CY,Average Fare (GBP) PY
J,J,TMC,Consortia,Published,GB,1269.0,6172.0,1.0,1.0,1269.0,6172.0
J,J,TMC,Consortia,SME,GB,22042.0,11029.0,11.0,4.0,2004.0,2757.0
J,J,TMC,Consortia,SO Net,GB,1250.0,2551.5,2.0,6.0,625.0,324.0
J,J,TMC,Consortia,SO Net,Other,1947.0,991.0,6.0,1.0,272.0,991.0
J,J,TMC,Consortia,Specialist,GB,971.0,2551.5,1.0,6.0,971.0,324.0
J,J,TMC,Global,Corporate,GB,181640.0,99792.0,116.0,58.0,1566.0,1721.0
J,J,TMC,Global,Corporate,NorAm,154245.0,79584.0,95.0,42.0,1624.0,1895.0
J,J,TMC,Global,IT Net,GB,1947.0,1757.0,6.0,2.0,272.0,878.0
J,J,TMC,Global,IT Net,NorAm,1713.0,2551.5,1.0,6.0,1713.0,324.0
J,J,TMC,Global,Net Fare,GB,1947.0,2930.0,6.0,2.0,272.0,1465.0
J,J,TMC,Global,Published,GB,15250.0,39963.0,6.0,21.0,2542.0,1903.0
J,J,TMC,Global,Published,NorAm,163760.0,214612.0,104.0,142.0,1575.0,1511.0
J,J,TMC,Global,Published,Other,21556.0,30352.0,19.0,18.0,1135.0,1686.0
J,J,TMC,Global,SME,GB,69438.0,84152.0,39.0,46.0,1780.0,1829.0
J,J,TMC,Global,SME,Other,11035.0,8849.0,11.0,6.0,1003.0,1475.0
J,J,TMC,Global,SO Net,GB,1947.0,896.0,6.0,1.0,272.0,896.0
J,J,TMC,Global,SO Net,Other,5047.0,2551.5,5.0,6.0,1009.0,324.0
J,J,TMC,Local,Corporate,GB,74490.0,32702.0,38.0,18.0,1960.0,1817.0
J,J,TMC,Local,Corporate,NorAm,4052.0,2797.0,2.0,2.0,2026.0,1399.0
J,J,TMC,Local,Corporate,Other,1998.0,2551.5,1.0,6.0,1998.0,324.0
J,J,TMC,Local,Group,GB,12844.0,2551.5,13.0,6.0,988.0,324.0
J,J,TMC,Local,IT Net,GB,1947.0,4506.0,6.0,4.0,272.0,1127.0
J,J,TMC,Local,IT Net,NorAm,1947.0,6009.0,6.0,2.0,272.0,3004.0
J,J,TMC,Local,Net Fare,NorAm,1947.0,2347.0,6.0,2.0,272.0,1173.0
J,J,TMC,Local,Published,GB,18154.0,31591.0,16.0,14.0,1135.0,2257.0
J,J,TMC,Local,Published,NorAm,258533.0,108097.0,154.0,60.0,1679.0,1802.0
J,J,TMC,Local,Published,Other,16138.0,32369.0,12.0,21.0,1345.0,1541.0
J,J,TMC,Local,SME,GB,136353.0,109989.0,70.0,66.0,1948.0,1667.0
J,J,TMC,Local,SO Net,Other,298.0,1314.0,1.0,1.0,298.0,1314.0
J,J,TMC,Local,Specialist,GB,16011.0,10202.0,22.0,10.0,728.0,1020.0
J,J,TMC,Local,VFR,NorAm,1713.0,2551.5,1.0,6.0,1713.0,324.0
J,J,TMC,OTA,Published,NorAm,13978.0,12794.0,5.0,6.0,2796.0,2132.0
J,J,Unmanaged,Consumer,Published,NorAm,10091.0,2859.0,8.0,3.0,1261.0,953.0
J,J,Unmanaged,Consumer,Published,Other,12253.0,27695.0,6.0,10.0,2042.0,2769.0
J,J,Unmanaged,Consumer,SME,Other,2984.0,2551.5,2.0,6.0,1492.0,324.0
J,J,Unmanaged,Consumer,SO Net,NorAm,1947.0,2448.0,6.0,1.0,272.0,2448.0
J,J,Unmanaged,Consumer,SO Net,Other,853.0,2551.5,1.0,6.0,853.0,324.0
J,J,Vhols,missing,IT Net,GB,960.0,2882.0,2.0,4.0,480.0,721.0
J,J,Vhols,missing,Published,GB,3942.0,2551.5,7.0,6.0,563.0,324.0
W,W,Consumer,Consolidator,Corporate,Other,1947.0,384.0,6.0,1.0,272.0,384.0
W,W,Consumer,Consolidator,IT Net,GB,12423.0,10916.0,44.0,36.0,282.0,303.0
W,W,Consumer,Consolidator,IT Net,Other,168.0,2551.5,1.0,6.0,168.0,324.0
W,W,Consumer,Consolidator,Published,GB,751.0,303.0,1.0,2.0,751.0,152.0
W,W,Consumer,Consolidator,Published,NorAm,6638.0,302.0,12.0,1.0,553.0,302.0
W,W,Consumer,Consolidator,Published,Other,787.0,1414.0,2.0,2.0,394.0,707.0
W,W,Consumer,Consolidator,SO Net,GB,1553.0,2623.0,7.0,8.0,222.0,328.0
W,W,Consumer,Consolidator,SO Net,NorAm,2003.0,2551.5,5.0,6.0,401.0,324.0
W,W,Consumer,Consortia,Published,NorAm,2929.0,2440.0,3.0,4.0,976.0,610.0
W,W,Consumer,OTA,IT Net,GB,5284.0,1868.0,21.0,5.0,252.0,374.0
W,W,Consumer,OTA,Net Fare,NorAm,1196.0,2411.0,4.0,7.0,299.0,344.0
W,W,Consumer,OTA,Published,GB,341.0,2127.0,2.0,3.0,171.0,709.0
W,W,Consumer,OTA,Published,NorAm,10701.0,9974.0,27.0,33.0,396.0,302.0
W,W,Consumer,OTA,Published,Other,8852.0,1164.0,17.0,3.0,521.0,388.0
W,W,Consumer,OTA,SO Net,GB,5235.0,3067.0,9.0,15.0,582.0,204.0
W,W,Consumer,OTA,SO Net,NorAm,1207.0,1887.0,2.0,8.0,604.0,236.0
W,W,Consumer,OTA,SO Net,Other,648.0,444.0,5.0,1.0,130.0,444.0
W,W,Consumer,Retail,IT Net,GB,21722.0,13504.0,59.0,43.0,368.0,314.0
W,W,Consumer,Retail,Portal,Other,1947.0,300.0,6.0,1.0,272.0,300.0
W,W,Consumer,Retail,Published,GB,3584.0,5738.0,5.0,10.0,717.0,574.0
W,W,Consumer,Retail,Published,NorAm,1947.0,3201.0,6.0,12.0,272.0,267.0
W,W,Consumer,Retail,Published,Other,1947.0,1480.0,6.0,3.0,272.0,493.0
W,W,Consumer,Retail,SME,GB,13604.0,1483.0,20.0,1.0,680.0,1483.0
W,W,Consumer,Retail,SO Net,GB,6359.0,5096.0,27.0,15.0,236.0,340.0
W,W,Consumer,Retail,SO Net,NorAm,1947.0,2102.0,6.0,4.0,272.0,526.0
W,W,Consumer,Retail,SO Net,Other,116.0,1180.0,1.0,3.0,116.0,393.0
W,W,Consumer,Retail,Specialist,GB,1947.0,900.0,6.0,1.0,272.0,900.0
W,W,Consumer,Student,Specialist,GB,375.0,2551.5,2.0,6.0,188.0,324.0
W,W,Consumer,Tour Op / Cruise,IT Net,GB,2556.0,4545.0,8.0,12.0,319.0,379.0
