Cabin (group),Cabin,Channel Type,Sub Channel Type,Ticket Type,Point of Sale,Rev (GBP) CY,Rev (GBP) PY,Passengers CY,Passengers PY,Average Fare (GBP) CY,Average Fare (GBP) PY
J,J,TMC,Local,Corporate,NorAm,"4,052","2,797",2,2,"2,026","1,399"
J,J,TMC,Local,Corporate,Other,"1,998",,1,,"1,998",
J,J,TMC,Local,Group,GB,"12,844",,13,,988,
J,J,TMC,Local,IT Net,GB,,"4,506",,4,,"1,127"
J,J,TMC,Local,IT Net,NorAm,,"6,009",,2,,"3,004"
J,J,TMC,Local,Net Fare,NorAm,,"2,347",,2,,"1,173"
J,J,TMC,Local,Published,GB,"18,154","31,591",16,14,"1,135","2,257"
J,J,TMC,Local,Published,NorAm,"258,533","108,097",154,60,"1,679","1,802"
J,J,TMC,Local,Published,Other,"16,138","32,369",12,21,"1,345","1,541"
J,J,TMC,Local,SME,GB,"136,353","109,989",70,66,"1,948","1,667"
J,J,TMC,Local,SO Net,Other,298,"1,314",1,1,298,"1,314"
J,J,TMC,Local,Specialist,GB,"16,011","10,202",22,10,728,"1,020"
J,J,TMC,Local,VFR,NorAm,"1,713",,1,,"1,713",
J,J,TMC,OTA,Published,NorAm,"13,978","12,794",5,6,"2,796","2,132"
J,J,Unmanaged,Consumer,Published,NorAm,"10,091","2,859",8,3,"1,261",953
J,J,Unmanaged,Consumer,Published,Other,"12,253","27,695",6,10,"2,042","2,769"
J,J,Unmanaged,Consumer,SME,Other,"2,984",,2,,"1,492",
J,J,Unmanaged,Consumer,SO Net,NorAm,,"2,448",,1,,"2,448"
J,J,Unmanaged,Consumer,SO Net,Other,853,,1,,853,
J,J,Vhols,NULL,IT Net,GB,960,"2,882",2,4,480,721
J,J,Vhols,NULL,Published,GB,"3,942",,7,,563,
W,W,Consumer,Consolidator,Corporate,Other,,384,,1,,384
W,W,Consumer,Consolidator,IT Net,GB,"12,423","10,916",44,36,282,303
W,W,Consumer,Consolidator,IT Net,Other,168,,1,,168,
W,W,Consumer,Consolidator,Published,GB,751,303,1,2,751,152
W,W,Consumer,Consolidator,Published,NorAm,"6,638",302,12,1,553,302
W,W,Consumer,Consolidator,Published,Other,787,"1,414",2,2,394,707
W,W,Consumer,Consolidator,SO Net,GB,"1,553","2,623",7,8,222,328
W,W,Consumer,Consolidator,SO Net,NorAm,"2,003",,5,,401,
W,W,Consumer,Consortia,Published,NorAm,"2,929","2,440",3,4,976,610
W,W,Consumer,OTA,IT Net,GB,"5,284","1,868",21,5,252,374
W,W,Consumer,OTA,Net Fare,NorAm,"1,196","2,411",4,7,299,344
W,W,Consumer,OTA,Published,GB,341,"2,127",2,3,171,709
W,W,Consumer,OTA,Published,NorAm,"10,701","9,974",27,33,396,302
W,W,Consumer,OTA,Published,Other,"8,852","1,164",17,3,521,388
W,W,Consumer,OTA,SO Net,GB,"5,235","3,067",9,15,582,204
W,W,Consumer,OTA,SO Net,NorAm,"1,207","1,887",2,8,604,236
W,W,Consumer,OTA,SO Net,Other,648,444,5,1,130,444
W,W,Consumer,Retail,IT Net,GB,"21,722","13,504",59,43,368,314
W,W,Consumer,Retail,Portal,Other,,300,,1,,300
W,W,Consumer,Retail,Published,GB,"3,584","5,738",5,10,717,574
W,W,Consumer,Retail,Published,NorAm,,"3,201",,12,,267
W,W,Consumer,Retail,Published,Other,,"1,480",,3,,493
W,W,Consumer,Retail,SME,GB,"13,604","1,483",20,1,680,"1,483"
W,W,Consumer,Retail,SO Net,GB,"6,359","5,096",27,15,236,340
W,W,Consumer,Retail,SO Net,NorAm,,"2,102",,4,,526
W,W,Consumer,Retail,SO Net,Other,116,"1,180",1,3,116,393
W,W,Consumer,Retail,Specialist,GB,,900,,1,,900
