Cabin (group),Cabin,Channel Type,Sub Channel Type,Ticket Type,Point of Sale,Rev (GBP) CY,Rev (GBP) PY,Passengers CY,Passengers PY,Average Fare (GBP) CY,Average Fare (GBP) PY
Y,Y,NULL,NULL,Corporate,NorAm,,804,,1,,804
Y,Y,NULL,NULL,Net Fare,GB,,823,,3,,274
Y,Y,NULL,NULL,Published,GB,"3,310","3,963",20,19,165,209
Y,Y,NULL,NULL,Published,NorAm,"73,490","56,270",348,395,211,142
Y,Y,NULL,NULL,Published,Other,"1,716","5,051",14,24,123,210
Y,Y,NULL,NULL,SO Net,Other,"5,486",118,28,2,196,59
Y,Y,NULL,NULL,Specialist,NorAm,"1,506",719,9,4,167,180
Y,Y,Other,OAL,Published,GB,80,"2,457",1,11,80,223
Y,Y,Other,OAL,Published,Other,628,"1,158",5,7,126,165
Y,Y,Other,Unknown,Published,GB,,"1,906",,13,,147
Y,Y,Other,Unknown,Published,NorAm,"2,914",412,18,20,162,21
Y,Y,Other,Unknown,Specialist,GB,353,,1,,353,
Y,Y,TMC,Consortia,IT Net,GB,,533,,4,,133
Y,Y,TMC,Consortia,Published,GB,76,970,1,2,76,485
Y,Y,TMC,Consortia,Published,NorAm,,286,,2,,143
Y,Y,TMC,Consortia,Published,Other,178,"1,096",1,5,178,219
Y,Y,TMC,Consortia,SME,GB,"3,732",524,14,1,267,524
Y,Y,TMC,Consortia,SO Net,GB,690,299,4,2,173,149
Y,Y,TMC,Consortia,SO Net,Other,"1,499","1,286",8,7,187,184
Y,Y,TMC,Global,Corporate,GB,"97,301","88,475",271,249,359,355
Y,Y,TMC,Global,Corporate,NorAm,"20,866","13,780",51,30,409,459
Y,Y,TMC,Global,Corporate,Other,192,,1,,192,
Y,Y,TMC,Global,Flying Co Too,GB,807,,1,,807,
Y,Y,TMC,Global,Group,GB,,"7,172",,41,,175
Y,Y,TMC,Global,IT Net,GB,,910,,7,,130
Y,Y,TMC,Global,IT Net,NorAm,218,,1,,218,
Y,Y,TMC,Global,Published,GB,"4,330","9,348",20,31,216,302
Y,Y,TMC,Global,Published,NorAm,"44,894","37,550",168,119,267,316
Y,Y,TMC,Global,Published,Other,"2,855","1,127",11,5,260,225
Y,Y,TMC,Global,SME,GB,"56,413","17,361",197,46,286,377
Y,Y,TMC,Global,SO Net,GB,,"1,874",,11,,170
Y,Y,TMC,Local,Corporate,GB,"17,209","3,011",42,8,410,376
Y,Y,TMC,Local,Corporate,NorAm,"6,890",,12,,574,
Y,Y,TMC,Local,Group,GB,,"7,647",,41,,187
Y,Y,TMC,Local,Group,NorAm,,27,,1,,27
Y,Y,TMC,Local,IT Net,GB,"1,368","3,869",9,21,152,184
Y,Y,TMC,Local,IT Net,NorAm,,124,,1,,124
Y,Y,TMC,Local,IT Net,Other,,233,,2,,116
Y,Y,TMC,Local,Net Fare,NorAm,314,,1,,314,
Y,Y,TMC,Local,Published,GB,"17,885","17,515",51,47,351,373
Y,Y,TMC,Local,Published,NorAm,"51,131","38,881",164,158,312,246
Y,Y,TMC,Local,Published,Other,"8,367","10,419",31,28,270,372
Y,Y,TMC,Local,SME,GB,"25,461","7,725",72,14,354,552
Y,Y,TMC,Local,SME,Other,393,,1,,393,
Y,Y,TMC,Local,SO Net,NorAm,"1,077",,4,,269,
Y,Y,TMC,Local,SO Net,Other,470,425,3,4,157,106
Y,Y,TMC,Local,Specialist,GB,"20,732","16,599",122,95,170,175
Y,Y,TMC,Local,Specialist,NorAm,"1,187",,2,,593,
Y,Y,TMC,MICE / Groups,Group,GB,"2,534","44,769",28,235,91,191
Y,Y,TMC,MICE / Groups,Published,GB,,"1,195",,1,,"1,195"
Y,Y,TMC,MICE / Groups,SO Net,GB,"3,190",,19,,168,
Y,Y,TMC,OTA,Published,NorAm,"3,999","3,145",9,7,444,449
Y,Y,TMC,OTA,Published,Other,"1,171",,3,,390,
Y,Y,Unmanaged,Consumer,Corporate,NorAm,"1,134",,3,,378,
Y,Y,Unmanaged,Consumer,Published,GB,277,,1,,277,
Y,Y,Unmanaged,Consumer,Published,NorAm,"1,990","5,727",7,28,284,205
Y,Y,Unmanaged,Consumer,Published,Other,"9,556","10,899",46,45,208,242
Y,Y,Unmanaged,Consumer,SO Net,Other,572,625,3,3,191,208
Y,Y,Unmanaged,Consumer,Specialist,GB,368,490,1,2,368,245
Y,Y,Vhols,NULL,Group,GB,"11,634","7,337",72,58,162,127
Y,Y,Vhols,NULL,IT Net,GB,"4,435","10,157",25,64,177,159
Y,Y,Vhols,NULL,Published,GB,436,588,2,3,218,196
